Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
StateProgressBar,com.kofigyan.stateprogressbarsample,ApplicationTest,0,0,1,1,8,1,0,0,-1.0,0,0,C:\Users\wesll\Documents\UFC\Qualidade\Projeto Final\Entrega 2\-10 Magic Numbers\.\StateProgressBar\sample\src\androidTest\java\com\kofigyan\stateprogressbarsample\ApplicationTest.java,6
StateProgressBar,com.kofigyan.stateprogressbarsample,AllStatesCompletedActivity,0,0,1,0,9,1,0,1,-1.0,0,0,C:\Users\wesll\Documents\UFC\Qualidade\Projeto Final\Entrega 2\-10 Magic Numbers\.\StateProgressBar\sample\src\main\java\com\kofigyan\stateprogressbarsample\AllStatesCompletedActivity.java,6
StateProgressBar,com.kofigyan.stateprogressbarsample,AnimationFourStatesActivity,0,0,3,2,17,3,0,1,-1.0,0,0,C:\Users\wesll\Documents\UFC\Qualidade\Projeto Final\Entrega 2\-10 Magic Numbers\.\StateProgressBar\sample\src\main\java\com\kofigyan\stateprogressbarsample\AnimationFourStatesActivity.java,8
StateProgressBar,com.kofigyan.stateprogressbarsample,BaseActivity,1,0,3,3,17,3,12,0,1.0,0,0,C:\Users\wesll\Documents\UFC\Qualidade\Projeto Final\Entrega 2\-10 Magic Numbers\.\StateProgressBar\sample\src\main\java\com\kofigyan\stateprogressbarsample\BaseActivity.java,13
StateProgressBar,com.kofigyan.stateprogressbarsample,BaseDescriptionActivity,1,0,3,3,18,3,2,1,1.0,0,0,C:\Users\wesll\Documents\UFC\Qualidade\Projeto Final\Entrega 2\-10 Magic Numbers\.\StateProgressBar\sample\src\main\java\com\kofigyan\stateprogressbarsample\BaseDescriptionActivity.java,13
StateProgressBar,com.kofigyan.stateprogressbarsample,BasicFiveDescendingStatesActivity,0,0,1,0,9,1,0,1,-1.0,0,0,C:\Users\wesll\Documents\UFC\Qualidade\Projeto Final\Entrega 2\-10 Magic Numbers\.\StateProgressBar\sample\src\main\java\com\kofigyan\stateprogressbarsample\BasicFiveDescendingStatesActivity.java,5
StateProgressBar,com.kofigyan.stateprogressbarsample,BasicFiveStatesActivity,0,0,1,0,9,1,0,1,-1.0,0,0,C:\Users\wesll\Documents\UFC\Qualidade\Projeto Final\Entrega 2\-10 Magic Numbers\.\StateProgressBar\sample\src\main\java\com\kofigyan\stateprogressbarsample\BasicFiveStatesActivity.java,5
StateProgressBar,com.kofigyan.stateprogressbarsample,BasicFourDescendingStatesActivity,0,0,1,0,9,1,0,1,-1.0,0,0,C:\Users\wesll\Documents\UFC\Qualidade\Projeto Final\Entrega 2\-10 Magic Numbers\.\StateProgressBar\sample\src\main\java\com\kofigyan\stateprogressbarsample\BasicFourDescendingStatesActivity.java,5
StateProgressBar,com.kofigyan.stateprogressbarsample,BasicFourStatesActivity,0,0,1,0,9,1,0,1,-1.0,0,0,C:\Users\wesll\Documents\UFC\Qualidade\Projeto Final\Entrega 2\-10 Magic Numbers\.\StateProgressBar\sample\src\main\java\com\kofigyan\stateprogressbarsample\BasicFourStatesActivity.java,5
StateProgressBar,com.kofigyan.stateprogressbarsample,BasicThreeDescendingStatesActivity,0,0,1,0,9,1,0,1,-1.0,0,0,C:\Users\wesll\Documents\UFC\Qualidade\Projeto Final\Entrega 2\-10 Magic Numbers\.\StateProgressBar\sample\src\main\java\com\kofigyan\stateprogressbarsample\BasicThreeDescendingStatesActivity.java,5
StateProgressBar,com.kofigyan.stateprogressbarsample,BasicThreeStatesActivity,0,0,1,0,9,1,0,1,-1.0,0,0,C:\Users\wesll\Documents\UFC\Qualidade\Projeto Final\Entrega 2\-10 Magic Numbers\.\StateProgressBar\sample\src\main\java\com\kofigyan\stateprogressbarsample\BasicThreeStatesActivity.java,5
StateProgressBar,com.kofigyan.stateprogressbarsample,BasicTwoDescendingStatesActivity,0,0,1,0,9,1,0,1,-1.0,0,0,C:\Users\wesll\Documents\UFC\Qualidade\Projeto Final\Entrega 2\-10 Magic Numbers\.\StateProgressBar\sample\src\main\java\com\kofigyan\stateprogressbarsample\BasicTwoDescendingStatesActivity.java,5
StateProgressBar,com.kofigyan.stateprogressbarsample,BasicTwoStatesActivity,0,0,1,0,9,1,0,1,-1.0,0,0,C:\Users\wesll\Documents\UFC\Qualidade\Projeto Final\Entrega 2\-10 Magic Numbers\.\StateProgressBar\sample\src\main\java\com\kofigyan\stateprogressbarsample\BasicTwoStatesActivity.java,5
StateProgressBar,com.kofigyan.stateprogressbarsample,ChangingStatesSizeActivity,1,0,1,0,12,1,0,0,0.0,0,0,C:\Users\wesll\Documents\UFC\Qualidade\Projeto Final\Entrega 2\-10 Magic Numbers\.\StateProgressBar\sample\src\main\java\com\kofigyan\stateprogressbarsample\ChangingStatesSizeActivity.java,8
StateProgressBar,com.kofigyan.stateprogressbarsample,CheckFourStatesActivity,0,0,1,0,9,1,0,1,-1.0,0,0,C:\Users\wesll\Documents\UFC\Qualidade\Projeto Final\Entrega 2\-10 Magic Numbers\.\StateProgressBar\sample\src\main\java\com\kofigyan\stateprogressbarsample\CheckFourStatesActivity.java,5
StateProgressBar,com.kofigyan.stateprogressbarsample,ColoringStatesActivity,0,0,1,0,9,1,0,2,-1.0,0,0,C:\Users\wesll\Documents\UFC\Qualidade\Projeto Final\Entrega 2\-10 Magic Numbers\.\StateProgressBar\sample\src\main\java\com\kofigyan\stateprogressbarsample\ColoringStatesActivity.java,5
StateProgressBar,com.kofigyan.stateprogressbarsample,DescriptionFourStatesActivity,0,0,1,0,9,1,0,2,-1.0,0,0,C:\Users\wesll\Documents\UFC\Qualidade\Projeto Final\Entrega 2\-10 Magic Numbers\.\StateProgressBar\sample\src\main\java\com\kofigyan\stateprogressbarsample\DescriptionFourStatesActivity.java,5
StateProgressBar,com.kofigyan.stateprogressbarsample,ListBaseActivity,1,0,4,3,40,6,2,0,0.75,0,1,C:\Users\wesll\Documents\UFC\Qualidade\Projeto Final\Entrega 2\-10 Magic Numbers\.\StateProgressBar\sample\src\main\java\com\kofigyan\stateprogressbarsample\ListBaseActivity.java,14
StateProgressBar,com.kofigyan.stateprogressbarsample,MainActivity,0,0,2,0,19,3,0,1,-1.0,0,2,C:\Users\wesll\Documents\UFC\Qualidade\Projeto Final\Entrega 2\-10 Magic Numbers\.\StateProgressBar\sample\src\main\java\com\kofigyan\stateprogressbarsample\MainActivity.java,12
StateProgressBar,com.kofigyan.stateprogressbarsample,StatesListActivity,2,0,2,0,26,3,0,1,0.0,0,1,C:\Users\wesll\Documents\UFC\Qualidade\Projeto Final\Entrega 2\-10 Magic Numbers\.\StateProgressBar\sample\src\main\java\com\kofigyan\stateprogressbarsample\StatesListActivity.java,14
StateProgressBar,com.kofigyan.stateprogressbarsample,UsageAmenitiesActivity,0,0,2,1,22,4,0,1,-1.0,0,1,C:\Users\wesll\Documents\UFC\Qualidade\Projeto Final\Entrega 2\-10 Magic Numbers\.\StateProgressBar\sample\src\main\java\com\kofigyan\stateprogressbarsample\UsageAmenitiesActivity.java,9
StateProgressBar,com.kofigyan.stateprogressbarsample,UsageBaseActivity,4,0,3,1,23,3,5,0,0.6666666666666666,0,0,C:\Users\wesll\Documents\UFC\Qualidade\Projeto Final\Entrega 2\-10 Magic Numbers\.\StateProgressBar\sample\src\main\java\com\kofigyan\stateprogressbarsample\UsageBaseActivity.java,9
StateProgressBar,com.kofigyan.stateprogressbarsample,UsageCompleteActivity,0,0,2,1,15,2,0,1,-1.0,0,0,C:\Users\wesll\Documents\UFC\Qualidade\Projeto Final\Entrega 2\-10 Magic Numbers\.\StateProgressBar\sample\src\main\java\com\kofigyan\stateprogressbarsample\UsageCompleteActivity.java,7
StateProgressBar,com.kofigyan.stateprogressbarsample,UsageDetailsActivity,0,0,5,2,41,9,0,1,-1.0,0,2,C:\Users\wesll\Documents\UFC\Qualidade\Projeto Final\Entrega 2\-10 Magic Numbers\.\StateProgressBar\sample\src\main\java\com\kofigyan\stateprogressbarsample\UsageDetailsActivity.java,11
StateProgressBar,com.kofigyan.stateprogressbarsample,UsagePricingActivity,0,0,2,1,22,4,0,1,-1.0,0,1,C:\Users\wesll\Documents\UFC\Qualidade\Projeto Final\Entrega 2\-10 Magic Numbers\.\StateProgressBar\sample\src\main\java\com\kofigyan\stateprogressbarsample\UsagePricingActivity.java,9
